#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host
,,0,2025-05-31T13:39:12.0750929Z,2025-05-31T13:49:12.0750929Z,2025-05-31T13:40:00Z,27.92511700468019,percent,cpu_usage,localhost
,,0,2025-05-31T13:39:12.0750929Z,2025-05-31T13:49:12.0750929Z,2025-05-31T13:40:30Z,2.910278584578425,percent,cpu_usage,localhost
,,0,2025-05-31T13:39:12.0750929Z,2025-05-31T13:49:12.0750929Z,2025-05-31T13:41:00Z,1.6503906252879688,percent,cpu_usage,localhost
,,0,2025-05-31T13:39:12.0750929Z,2025-05-31T13:49:12.0750929Z,2025-05-31T13:44:00Z,2.8710937498059743,percent,cpu_usage,localhost
,,0,2025-05-31T13:39:12.0750929Z,2025-05-31T13:49:12.0750929Z,2025-05-31T13:44:30Z,24.16758476205339,percent,cpu_usage,localhost
,,0,2025-05-31T13:39:12.0750929Z,2025-05-31T13:49:12.0750929Z,2025-05-31T13:47:00Z,7.83203125,percent,cpu_usage,localhost
,,0,2025-05-31T13:39:12.0750929Z,2025-05-31T13:49:12.0750929Z,2025-05-31T13:47:30Z,6.236979166860692,percent,cpu_usage,localhost
,,0,2025-05-31T13:39:12.0750929Z,2025-05-31T13:49:12.0750929Z,2025-05-31T13:48:00Z,8.645833333139308,percent,cpu_usage,localhost
,,0,2025-05-31T13:39:12.0750929Z,2025-05-31T13:49:12.0750929Z,2025-05-31T13:48:30Z,4.602864583333333,percent,cpu_usage,localhost
,,0,2025-05-31T13:39:12.0750929Z,2025-05-31T13:49:12.0750929Z,2025-05-31T13:49:00Z,7.851162159870008,percent,cpu_usage,localhost
,,0,2025-05-31T13:39:12.0750929Z,2025-05-31T13:49:12.0750929Z,2025-05-31T13:49:12.0750929Z,5.44921875,percent,cpu_usage,localhost

